Headliner,Tour Name,Support,Date,Venue,City,State,Country,Source URL
Avenged Sevenfold,,,2/3/2026,Movistar Arena,Buenos Aires,,Argentina,https://www.avengedsevenfold.com/tour
My Chemical Romance,The Black Parade 2026 Stadium Tour,,2/1/2026,Estadio Tomás Adolfo Ducó,Buenos Aires,,Argentina,https://www.mychemicalromance.com
Anberlin,An Emo Extravaganza 2026,Cartel; Hot Chelle Rae; Broadside; This Wild Life,3/1/2026,Fortitude Music Hall,Brisbane,,Australia,https://www.destroyalllines.com/tours/an-emo-extravaganza
Anberlin,An Emo Extravaganza 2026,Cartel; Hot Chelle Rae; Broadside; This Wild Life,2/22/2026,PICA,Melbourne,,Australia,https://www.destroyalllines.com/tours/an-emo-extravaganza
Anberlin,An Emo Extravaganza 2026,Cartel; Hot Chelle Rae; Broadside; This Wild Life,2/28/2026,Roundhouse,Sydney,,Australia,https://www.destroyalllines.com/tours/an-emo-extravaganza
Hot Mulligan,The Sound a Body Makes When It’s Still Tour 2026,saturdays at your place; Forests,4/25/2026,The Fortitude Music Hall,Fortitude Valley,,Australia,https://hotmulligan.band
Hot Mulligan,The Sound a Body Makes When It’s Still Tour 2026,saturdays at your place; Forests,4/27/2026,The Gov,Hindmarsh,,Australia,https://hotmulligan.band
Hot Mulligan,The Sound a Body Makes When It’s Still Tour 2026,saturdays at your place; Forests,4/26/2026,The Roundhouse UNSW,Kensington,,Australia,https://hotmulligan.band
Hot Mulligan,The Sound a Body Makes When It’s Still Tour 2026,saturdays at your place; Forests,4/22/2026,Forum Melbourne,Melbourne,,Australia,https://hotmulligan.band
Hot Mulligan,The Sound a Body Makes When It’s Still Tour 2026,saturdays at your place; Forests,4/29/2026,Astor Theatre,Mount Lawley,,Australia,https://hotmulligan.band
Pierce the Veil,I Can’t Hear You World Tour 2026,Movements; Jack Kays,4/14/2026,The Drive,Adelaide,,Australia,https://piercetheveil.net
Pierce the Veil,I Can’t Hear You World Tour 2026,Movements; Jack Kays,4/8/2026,Riverstage,Brisbane,,Australia,https://piercetheveil.net
Pierce the Veil,I Can’t Hear You World Tour 2026,Movements; Jack Kays,4/12/2026,Rod Laver Arena,Melbourne,,Australia,https://piercetheveil.net
Pierce the Veil,I Can’t Hear You World Tour 2026,Movements; Jack Kays,4/16/2026,Red Hill Auditorium,Perth,,Australia,https://piercetheveil.net
Pierce the Veil,I Can’t Hear You World Tour 2026,Movements; Jack Kays,4/10/2026,Hordern Pavilion,Sydney,,Australia,https://piercetheveil.net
Pierce the Veil,I Can’t Hear You World Tour 2026,,4/11/2026,Hordern Pavilion,Sydney,,Australia,https://piercetheveil.net
Bad Omens,Do You Feel Love Tour,,11/14/2026,Nova Rock 2026,Nickelsdorf,,Austria,https://www.badomensofficial.com
Simple Plan,Bigger than you think! Europe/UK Tour,Neck Deep,10/20/2026,TBA,Vienna,,Austria,https://www.officialsimpleplan.com
