Headliner,Tour Name,Support,Date,Venue,City,State,Country,Source URL
All Time Low,Everyone’s Talking! Tour,Mayday Parade; Four Year Strong; Taylor Acorn,1/27/2026,Ancienne Belgique,Brussels,,Belgium,https://www.alltimelow.com
Bad Omens,Graspop Metal Meeting 2026,Festival (various artists),18–21-Jun-26,Graspop Metal Meeting 2026,Dessel,,Belgium,https://www.badomensofficial.com
Evanescence,2026 World Tour,Spiritbox; Nova Twins,9/16/2026,Forest National,Brussels,,Belgium,https://www.evanescence.com
Hot Mulligan,The Sound a Body Makes When It’s Still Tour 2026,Delta Sleep,2/20/2026,L’Orangerie du Botanique,Saint-Josse-ten-Noode,,Belgium,https://hotmulligan.band
Simple Plan,Bigger than you think! Europe/UK Tour,None (without Neck Deep),10/5/2026,TBA,Brussels,,Belgium,https://www.officialsimpleplan.com
Avenged Sevenfold,,,1/28/2026,Pedreira Paulo Leminski,Curitiba,,Brazil,https://www.avengedsevenfold.com/tour
Avenged Sevenfold,,,1/31/2026,Allianz Parque,São Paulo,,Brazil,https://www.avengedsevenfold.com/tour
My Chemical Romance,The Black Parade 2026 Stadium Tour,,2/5/2026,Allianz Parque,São Paulo,,Brazil,https://www.mychemicalromance.com
My Chemical Romance,The Black Parade 2026 Stadium Tour,,2/6/2026,Allianz Parque,São Paulo,,Brazil,https://www.mychemicalromance.com
Avenged Sevenfold,Co‑Headlining Summer 2026 Tour,Good Charlotte,8/6/2026,RBC Amphitheatre,Toronto,ON,Canada,https://www.avengedsevenfold.com/tour
Bad Omens,Do You Feel Love North America Tour,Beartooth; President,3/6/2026,Scotiabank Arena,Toronto,ON,Canada,https://www.badomensofficial.com
Bring Me The Horizon,North American Ascension Program 2 Tour,Motionless In White; The Plot In You; Amira Elfeky,4/28/2026,Scotiabank Arena,Toronto,ON,Canada,https://www.bmthofficial.com
Evanescence,2026 World Tour,Spiritbox; Nova Twins,6/29/2026,Budweiser Stage,Toronto,ON,Canada,https://www.evanescence.com
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,3/31/2026,Massey Hall,Toronto,ON,Canada,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
The Maine,I Love You But I Chose The Maine 2026 Tour,,4/15/2026,HISTORY,Toronto,ON,Canada,https://www.themaineband.com/
The Wonder Years,No Closer to Heaven Tour,Knuckle Puck; Weakened Friends,4/5/2026,The Danforth Music Hall,Toronto,ON,Canada,https://thewonderyearsband.com
Avenged Sevenfold,Co‑Headlining Summer 2026 Tour,Good Charlotte,8/8/2026,Centre Bell,Montreal,QC,Canada,https://www.avengedsevenfold.com/tour
Bad Omens,Do You Feel Love North America Tour,Beartooth; President,3/8/2026,Place Bell,Laval,QC,Canada,https://www.badomensofficial.com
Evanescence,2026 World Tour,Spiritbox; Nova Twins,6/30/2026,Bell Centre,Montreal,QC,Canada,https://www.evanescence.com
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,4/1/2026,Massey Hall,Toronto,QC,Canada,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
Bring Me The Horizon,North American Ascension Program 2 Tour,Motionless In White; The Plot In You; Amira Elfeky,4/29/2026,Bell Centre,Montreal,QC,Canada,https://www.bmthofficial.com
My Chemical Romance,The Black Parade 2026 Stadium Tour,,1/28/2026,Estadio Bicentenario Municipal de La Florida,Santiago,,Chile,https://www.mychemicalromance.com
My Chemical Romance,The Black Parade 2026 Stadium Tour,,1/29/2026,Estadio Bicentenario Municipal de La Florida,Santiago,,Chile,https://www.mychemicalromance.com
My Chemical Romance,The Black Parade 2026 Stadium Tour,,1/22/2026,Vive Claro Distrito Cultural,Bogotá,,Colombia,https://www.mychemicalromance.com
All Time Low,Everyone’s Talking! Tour,Mayday Parade; Four Year Strong; Taylor Acorn,2/9/2026,SaSaZu,Prague,,Czechia,https://www.alltimelow.com
Hot Mulligan,The Sound a Body Makes When It’s Still Tour 2026,Delta Sleep,2/27/2026,Futurum Music Bar,Prague,,Czechia,https://hotmulligan.band
Simple Plan,Bigger than you think! Europe/UK Tour,Neck Deep,10/18/2026,TBA,Prague,,Czechia,https://www.officialsimpleplan.com
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Tiberius B; Water From Your Eyes,6/15/2026,Tempodrom,Berlin,,DE,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,6/10/2026,Live Music Hall,Cologne,,DE,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
All Time Low,Everyone’s Talking! Tour,Mayday Parade; Four Year Strong; Taylor Acorn,2/4/2026,Vega,Copenhagen,,Denmark,https://www.alltimelow.com
Hot Mulligan,The Sound a Body Makes When It’s Still Tour 2026,Delta Sleep,3/1/2026,Pumpehuset,Copenhagen,,Denmark,https://hotmulligan.band
Simple Plan,Bigger than you think! Europe/UK Tour,Neck Deep,10/12/2026,TBA,Copenhagen,,Denmark,https://www.officialsimpleplan.com
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,6/16/2026,Poolen,Copenhagen,,DK,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
The Wonder Years,,,1/14/2026,The Prospect Building,Bristol,,England,https://thewonderyearsband.com
The Wonder Years,,,1/17/2026,O2 Forum Kentish Town,London,,England,https://thewonderyearsband.com
Bad Omens,Tuska Festival 2026,Festival (various artists),26–28-Jun-26,Tuska Festival 2026,Helsinki,,Finland,https://www.badomensofficial.com
Bad Omens,Provinssi 2026,Festival (various artists),25–27-Jun-26,Provinssi 2026,Seinäjoki,,Finland,https://www.badomensofficial.com
All Time Low,Everyone’s Talking! Tour,Mayday Parade; Four Year Strong; Taylor Acorn,1/26/2026,Salle Pleyel,Paris,,France,https://www.alltimelow.com
Bad Omens,Hellfest 2026,Festival (various artists),18–21-Jun-26,Hellfest 2026,Clisson,,France,https://www.badomensofficial.com
Evanescence,2026 World Tour,Spiritbox; Nova Twins,9/17/2026,Accor Arena,Paris,,France,https://www.evanescence.com
Hot Mulligan,The Sound a Body Makes When It’s Still Tour 2026,Delta Sleep,2/22/2026,La Maroquinerie,Paris,,France,https://hotmulligan.band
Simple Plan,Bigger than you think! Europe/UK Tour,Neck Deep,10/31/2026,TBA,Paris,,France,https://www.officialsimpleplan.com
All Time Low,Everyone’s Talking! Tour,Mayday Parade; Four Year Strong; Taylor Acorn,2/6/2026,Palladium,Cologne,,Germany,https://www.alltimelow.com
All Time Low,Everyone’s Talking! Tour,Mayday Parade; Four Year Strong; Taylor Acorn,1/31/2026,Sporthalle,Hamburg,,Germany,https://www.alltimelow.com
All Time Low,Everyone’s Talking! Tour,Mayday Parade; Four Year Strong; Taylor Acorn,1/30/2026,Haus Auensee,Leipzig,,Germany,https://www.alltimelow.com
All Time Low,Everyone’s Talking! Tour,Mayday Parade; Four Year Strong; Taylor Acorn,2/12/2026,TonHalle München,Munich,,Germany,https://www.alltimelow.com
Bad Omens,Do You Feel Love Tour,,6/3/2026,PSD Bank Dome,Düsseldorf,,Germany,https://www.badomensofficial.com
Bad Omens,Do You Feel Love Tour,,6/8/2026,QUARTERBACK Immobilien AG,Leipzig,,Germany,https://www.badomensofficial.com
Bad Omens,Do You Feel Love Tour,,6/7/2026,Rock am Ring 2026,Nürburg,,Germany,https://www.badomensofficial.com
Bad Omens,Do You Feel Love Tour,,6/7/2026,Rock im Park 2026,Nürnberg,,Germany,https://www.badomensofficial.com
Evanescence,2026 World Tour,Spiritbox; Nova Twins,9/25/2026,Uber Arena,Berlin,,Germany,https://www.evanescence.com
Evanescence,2026 World Tour,Spiritbox; Nova Twins,9/20/2026,Westfalenhalle,Dortmund,,Germany,https://www.evanescence.com
Evanescence,2026 World Tour,Spiritbox; Nova Twins,9/19/2026,Festhalle,Frankfurt,,Germany,https://www.evanescence.com
Evanescence,2026 World Tour,Spiritbox; Nova Twins,9/23/2026,Barclays Arena,Hamburg,,Germany,https://www.evanescence.com
Evanescence,2026 World Tour,Spiritbox; Nova Twins,9/26/2026,Olympiahalle,Munich,,Germany,https://www.evanescence.com
Hot Mulligan,The Sound a Body Makes When It’s Still Tour 2026,Delta Sleep,2/28/2026,Columbia Theater,Berlin,,Germany,https://hotmulligan.band
Hot Mulligan,The Sound a Body Makes When It’s Still Tour 2026,Delta Sleep,3/4/2026,Die Kantine,Cologne,,Germany,https://hotmulligan.band
Hot Mulligan,The Sound a Body Makes When It’s Still Tour 2026,Delta Sleep,3/3/2026,Fabrik,Hamburg,,Germany,https://hotmulligan.band
Hot Mulligan,The Sound a Body Makes When It’s Still Tour 2026,Delta Sleep,2/24/2026,Backstage Werk,Munich,,Germany,https://hotmulligan.band
Simple Plan,Bigger than you think! Europe/UK Tour,Neck Deep,10/16/2026,TBA,Berlin,,Germany,https://www.officialsimpleplan.com
Simple Plan,Bigger than you think! Europe/UK Tour,None (without Neck Deep),10/8/2026,TBA,Düsseldorf,,Germany,https://www.officialsimpleplan.com
Simple Plan,Bigger than you think! Europe/UK Tour,Neck Deep,10/10/2026,TBA,Hamburg,,Germany,https://www.officialsimpleplan.com
Simple Plan,Bigger than you think! Europe/UK Tour,Neck Deep,10/23/2026,TBA,Munich,,Germany,https://www.officialsimpleplan.com
My Chemical Romance,The Black Parade 2026 Stadium Tour,,5/3/2026,NICE PIK2,Jakarta,,Indonesia,https://www.mychemicalromance.com
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,6/5/2026,Alcatraz,Milan,,Italy,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
All Time Low,Everyone’s Talking! Tour,Mayday Parade; Four Year Strong; Taylor Acorn,2/13/2026,ChorusLife Arena,Bergamo,,Italy,https://www.alltimelow.com
Bad Omens,Do You Feel Love Tour,,6/16/2026,Parco della Musica di Milano,Novegro-Tregarezzo,,Italy,https://www.badomensofficial.com
Evanescence,2026 World Tour,Spiritbox; Nova Twins,9/28/2026,Unipol Arena,Bologna,,Italy,https://www.evanescence.com
My Chemical Romance,The Black Parade 2026 Stadium Tour,,7/15/2026,Visarno Arena,Florence,,Italy,https://www.mychemicalromance.com
Simple Plan,Bigger than you think! Europe/UK Tour,Neck Deep,10/24/2026,TBA,Milan,,Italy,https://www.officialsimpleplan.com
Hot Mulligan,Hot Mulligan Japan Tour 2026,,5/8/2026,F/A/D/,Kanagawa Yokohama,,Japan,https://hotmulligan.band
Hot Mulligan,Hot Mulligan Japan Tour 2026,,5/9/2026,WWW X,Tokyo Shibuya,,Japan,https://hotmulligan.band
Hot Mulligan,Hot Mulligan Japan Tour 2026,,5/10/2026,Fever,Tokyo Shindaita,,Japan,https://hotmulligan.band
Hot Mulligan,Hot Mulligan Japan Tour 2026,,5/7/2026,Mime Spices,Tokyo Shinjuku,,Japan,https://nothingfeelsreal.square.site/product/-will-call-hot-mulligan-japan-tour-2026/EY7ATUUWAK4RFPRHDPPW7JSG?cp=true&sa=true&sbp=false&q=false
My Chemical Romance,The Black Parade 2026 Stadium Tour,,4/30/2026,Bukit Jalil National Stadium,Kuala Lumpur,,Malaysia,https://www.mychemicalromance.com
My Chemical Romance,The Black Parade 2026 Stadium Tour,,5/1/2026,Bukit Jalil National Stadium,Kuala Lumpur,,Malaysia,https://www.mychemicalromance.com
My Chemical Romance,The Black Parade 2026 Stadium Tour,,2/13/2026,Estadio GNP Seguros,Mexico City,,Mexico,https://www.mychemicalromance.com
My Chemical Romance,The Black Parade 2026 Stadium Tour,,2/14/2026,Estadio GNP Seguros,Mexico City,,Mexico,https://www.mychemicalromance.com
Avenged Sevenfold,,A Day to Remember; Scars on Broadway; Mr. Bindle,1/17/2026,Estadio GNP Seguros,Mexico City,,Mexico,https://www.avengedsevenfold.com/tour
All Time Low,Everyone’s Talking! Tour,Mayday Parade; Four Year Strong; Taylor Acorn,1/29/2026,13,Tilburg,,Netherlands,https://www.alltimelow.com
Evanescence,2026 World Tour,Spiritbox; Nova Twins,9/22/2026,Ziggo Dome,Amsterdam,,Netherlands,https://www.evanescence.com
Hot Mulligan,The Sound a Body Makes When It’s Still Tour 2026,Delta Sleep,2/21/2026,Melkweg,Amsterdam,,Netherlands,https://hotmulligan.band
Simple Plan,Bigger than you think! Europe/UK Tour,Neck Deep,10/9/2026,TBA,Amsterdam,,Netherlands,https://www.officialsimpleplan.com
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Snuggle; Water From Your Eyes,6/8/2026,Paradiso,Amsterdam,,Netherlands,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
All Time Low,Everyone’s Talking! Tour,Mayday Parade; Four Year Strong; Taylor Acorn,2/3/2026,Sentrum Scene,Oslo,,Norway,https://www.alltimelow.com
Simple Plan,Bigger than you think! Europe/UK Tour,Neck Deep,10/13/2026,TBA,Oslo,,Norway,https://www.officialsimpleplan.com
My Chemical Romance,The Black Parade 2026 Stadium Tour,,1/25/2026,Estadio Nacional,Lima,,Peru,https://www.mychemicalromance.com
My Chemical Romance,The Black Parade 2026 Stadium Tour,,4/25/2026,Philippine Arena,Manila,,Philippines,https://www.mychemicalromance.com
All Time Low,Everyone’s Talking! Tour,Mayday Parade; Four Year Strong; Taylor Acorn,2/8/2026,Klub Stodoła,Warsaw,,Poland,https://www.alltimelow.com
Bad Omens,Summer Punch Festival 2026,Festival (various artists),18–19-Jun-26,Summer Punch Festival 2026,Warsaw,,Poland,https://www.badomensofficial.com
Simple Plan,Bigger than you think! Europe/UK Tour,Neck Deep,10/17/2026,TBA,Warsaw,,Poland,https://www.officialsimpleplan.com
All Time Low,Everyone’s Talking! Tour,Mayday Parade; Four Year Strong; Taylor Acorn,2/17/2026,Lisboa Ao Vivo,Lisbon,,Portugal,https://www.alltimelow.com
Evanescence,2026 World Tour,Spiritbox; Nova Twins,10/4/2026,Altice Arena,Lisbon,,Portugal,https://www.evanescence.com
Avenged Sevenfold,,,1/14/2026,Coliseo de Puerto Rico José Miguel Agrelot,San Juan,,Puerto Rico,https://www.avengedsevenfold.com/tour
Boys Like Girls,,,7/15/2026,O2 Academy Glasgow,Glasgow,,Scotland,https://www.boyslikegirls.com
The Wonder Years,,,1/15/2026,SWG3 Galvanizers,Glasgow,,Scotland,https://thewonderyearsband.com
My Chemical Romance,The Black Parade 2026 Stadium Tour,,4/28/2026,Singapore Indoor Stadium,Singapore,,Singapore,https://www.mychemicalromance.com
My Chemical Romance,The Black Parade 2026 Stadium Tour,,4/18/2026,Paradise City Korea,Incheon,,South Korea,https://www.mychemicalromance.com
All Time Low,Everyone’s Talking! Tour,Mayday Parade; Four Year Strong; Taylor Acorn,2/15/2026,Razzmatazz,Barcelona,,Spain,https://www.alltimelow.com
All Time Low,Everyone’s Talking! Tour,Mayday Parade; Four Year Strong; Taylor Acorn,2/16/2026,Sala La Riviera,Madrid,,Spain,https://www.alltimelow.com
Evanescence,2026 World Tour,Spiritbox; Nova Twins,10/1/2026,Palau Sant Jordi,Barcelona,,Spain,https://www.evanescence.com
Evanescence,2026 World Tour,Spiritbox; Nova Twins,10/2/2026,Wizink Center,Madrid,,Spain,https://www.evanescence.com
My Chemical Romance,The Black Parade 2026 Stadium Tour,,7/18/2026,Iberdrola Music,Madrid,,Spain,https://www.mychemicalromance.com
Simple Plan,Bigger than you think! Europe/UK Tour,Neck Deep,10/26/2026,TBA,Barcelona,,Spain,https://www.officialsimpleplan.com
Simple Plan,Bigger than you think! Europe/UK Tour,Neck Deep,10/27/2026,TBA,Madrid,,Spain,https://www.officialsimpleplan.com
All Time Low,Everyone’s Talking! Tour,Mayday Parade; Four Year Strong; Taylor Acorn,2/2/2026,Fryshuset Arenan,Stockholm,,Sweden,https://www.alltimelow.com
Bad Omens,Broken Summer 2026,Festival (various artists),6/24/2026,Broken Summer 2026,Stockholm,,Sweden,https://www.badomensofficial.com
Simple Plan,Bigger than you think! Europe/UK Tour,Neck Deep,10/14/2026,TBA,Stockholm,,Sweden,https://www.officialsimpleplan.com
All Time Low,Everyone’s Talking! Tour,Mayday Parade; Four Year Strong; Taylor Acorn,2/10/2026,X-TRA,Zürich,,Switzerland,https://www.alltimelow.com
Bad Omens,Do You Feel Love Tour,,11/13/2026,Greenfield Festival 2026,Interlaken,,Switzerland,https://www.badomensofficial.com
Evanescence,2026 World Tour,Spiritbox; Nova Twins,9/29/2026,Hallenstadion,Zurich,,Switzerland,https://www.evanescence.com
Simple Plan,Bigger than you think! Europe/UK Tour,Neck Deep,10/29/2026,TBA,Zurich,,Switzerland,https://www.officialsimpleplan.com
My Chemical Romance,The Black Parade 2026 Stadium Tour,,4/22/2026,Impact Challenger Hall 1,Bangkok,,Thailand,https://www.mychemicalromance.com
All Time Low,Everyone’s Talking! Tour,Mayday Parade; Four Year Strong; Taylor Acorn,1/22/2026,Utilita Arena Cardiff,Cardiff,,United Kingdom,https://www.alltimelow.com
All Time Low,Everyone’s Talking! Tour,Mayday Parade; Four Year Strong; Taylor Acorn,1/20/2026,OVO Hydro,Glasgow,,United Kingdom,https://www.alltimelow.com
All Time Low,Everyone’s Talking! Tour,Mayday Parade; Four Year Strong; Taylor Acorn,1/24/2026,The O2,London,,United Kingdom,https://www.alltimelow.com
All Time Low,Everyone’s Talking! Tour,Mayday Parade; Four Year Strong; Taylor Acorn,1/23/2026,Co-op Live,Manchester,,United Kingdom,https://www.alltimelow.com
Evanescence,2026 World Tour,Spiritbox; Nova Twins,9/11/2026,Utilita Arena,Birmingham,,United Kingdom,https://www.evanescence.com
Evanescence,2026 World Tour,Spiritbox; Nova Twins,9/8/2026,First Direct Arena,Leeds,,United Kingdom,https://www.evanescence.com
Evanescence,2026 World Tour,Spiritbox; Nova Twins,9/13/2026,The O2,London,,United Kingdom,https://www.evanescence.com
Evanescence,2026 World Tour,Spiritbox; Nova Twins,9/10/2026,AO Arena,Manchester,,United Kingdom,https://www.evanescence.com
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,6/26/2026,O2 Academy,Glasgow,,United Kingdom,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,6/27/2026,O2 Academy,Glasgow,,United Kingdom,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,6/19/2026,Roundhouse,London,,United Kingdom,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,6/20/2026,Roundhouse,London,,United Kingdom,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,6/22/2026,Academy 1,Manchester,,United Kingdom,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,6/23/2026,Academy 1,Manchester,,United Kingdom,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
Hot Mulligan,The Sound a Body Makes When It’s Still Tour 2026,Delta Sleep,3/11/2026,O2 Institute,Birmingham,,United Kingdom,https://hotmulligan.band
Hot Mulligan,The Sound a Body Makes When It’s Still Tour 2026,Delta Sleep,3/10/2026,The Prospect Building,Bristol,,United Kingdom,https://hotmulligan.band
Hot Mulligan,The Sound a Body Makes When It’s Still Tour 2026,Delta Sleep,3/8/2026,Barrowland Ballroom,Glasgow,,United Kingdom,https://hotmulligan.band
Hot Mulligan,The Sound a Body Makes When It’s Still Tour 2026,Delta Sleep,3/6/2026,University Refectory,Leeds,,United Kingdom,https://hotmulligan.band
Hot Mulligan,The Sound a Body Makes When It’s Still Tour 2026,Delta Sleep,3/12/2026,Roundhouse,London,,United Kingdom,https://hotmulligan.band
Hot Mulligan,The Sound a Body Makes When It’s Still Tour 2026,Delta Sleep,3/7/2026,Manchester Academy,Manchester,,United Kingdom,https://hotmulligan.band
My Chemical Romance,The Black Parade 2026 Stadium Tour,,7/4/2026,Bellahouston Park,Glasgow,,United Kingdom,https://www.mychemicalromance.com
My Chemical Romance,The Black Parade 2026 Stadium Tour,,6/30/2026,Anfield Stadium,Liverpool,,United Kingdom,https://www.mychemicalromance.com
My Chemical Romance,The Black Parade 2026 Stadium Tour,,7/8/2026,Wembley Stadium,London,,United Kingdom,https://www.mychemicalromance.com
My Chemical Romance,The Black Parade 2026 Stadium Tour,,7/10/2026,Wembley Stadium,London,,United Kingdom,https://www.mychemicalromance.com
My Chemical Romance,The Black Parade 2026 Stadium Tour,,7/11/2026,Wembley Stadium,London,,United Kingdom,https://www.mychemicalromance.com
Simple Plan,Bigger than you think! Europe/UK Tour,None (without Neck Deep),10/3/2026,TBA,London,,United Kingdom,https://www.officialsimpleplan.com
Simple Plan,Bigger than you think! Europe/UK Tour,None (without Neck Deep),10/2/2026,TBA,Manchester,,United Kingdom,https://www.officialsimpleplan.com
State Champs,Slam Dunk Festival South,Festival (various artists),5/23/2026,Slam Dunk Festival South,Hatfield,,United Kingdom,https://statechamps.band/pages/tour
State Champs,Slam Dunk Festival North,Festival (various artists),5/24/2026,Slam Dunk Festival North,Leeds,,United Kingdom,https://statechamps.band/pages/tour
Bad Omens,Do You Feel Love Tour,,10/14/2026,Download Festival 2026,Castle Donington,,United Kingdom,https://www.badomensofficial.com
Boys Like Girls,,,7/13/2026,O2 Academy Bristol,Bristol,,United Kingdom,https://www.boyslikegirls.com
Boys Like Girls,,,7/18/2026,O2 Academy Brixton,London,,United Kingdom,https://www.boyslikegirls.com
Boys Like Girls,,,7/17/2026,Manchester Academy,Manchester,,United Kingdom,https://www.boyslikegirls.com
The Wonder Years,,,1/16/2026,Albert Hall,Manchester,,United Kingdom,https://thewonderyearsband.com
Evanescence,2026 World Tour,Poppy; K.Flay,7/11/2026,First Security Amphitheater,North Little Rock,Arkansas,United States,https://www.evanescence.com
Avenged Sevenfold,Co‑Headlining Summer 2026 Tour,Good Charlotte,8/27/2026,Talking Stick Resort Amphitheatre,Phoenix,Arizona,United States,https://www.avengedsevenfold.com/tour
Bad Omens,Do You Feel Love North America Tour,Beartooth; President,3/24/2026,Desert Diamond Arena,Glendale,Arizona,United States,https://www.badomensofficial.com
Boys Like Girls,The Soundtrack Of Your Life Tour 2026,I Dont Know How But They Found Me; Arrows In Action,4/29/2026,Marquee Theatre,Tempe,Arizona,United States,https://www.boyslikegirls.com
Evanescence,2026 World Tour,Poppy; K.Flay,7/15/2026,Footprint Center,Phoenix,Arizona,United States,https://www.evanescence.com
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,5/5/2026,The Van Buren,Phoenix,Arizona,United States,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
My Chemical Romance,The Black Parade 2026 Stadium Tour,Jimmy Eat World,9/6/2026,Chase Field,Phoenix,Arizona,United States,https://www.mychemicalromance.com
The Maine,I Love You But I Chose The Maine 2026 Tour,,3/25/2026,The Van Buren,Phoenix,Arizona,United States,https://www.themaineband.com/
The Wonder Years,No Closer to Heaven Tour,Knuckle Puck; Initiate,3/18/2026,Nile Theater,Mesa,Arizona,United States,https://thewonderyearsband.com
Bad Omens,Do You Feel Love North America Tour,Beartooth; President,3/26/2026,Kia Forum,Inglewood,California,United States,https://www.badomensofficial.com
Bad Omens,Do You Feel Love North America Tour,Beartooth; President,3/27/2026,Oakland Arena,Oakland,California,United States,https://www.badomensofficial.com
Bilmuri,Kinda Hard Tour 2026,The Home Team; GANG!,4/20/2026,Hollywood Palladium,Los Angeles,California,United States,https://www.bilmuri.com/tour
Bilmuri,Kinda Hard Tour 2026,The Home Team; GANG!,4/21/2026,SOMA,San Diego,California,United States,https://www.bilmuri.com/tour
Boys Like Girls,The Soundtrack Of Your Life Tour 2026,I Dont Know How But They Found Me; Arrows In Action,5/1/2026,House of Blues Anaheim,Anaheim,California,United States,https://www.boyslikegirls.com
Boys Like Girls,The Soundtrack Of Your Life Tour 2026,I Dont Know How But They Found Me; Arrows In Action,5/3/2026,House of Blues Anaheim,Anaheim,California,United States,https://www.boyslikegirls.com
Boys Like Girls,The Soundtrack Of Your Life Tour 2026,I Dont Know How But They Found Me; Arrows In Action,5/5/2026,Hard Rock Live Sacramento,Wheatland,California,United States,https://www.boyslikegirls.com
Evanescence,2026 World Tour,Poppy; K.Flay,7/17/2026,North Island Credit Union Amphitheatre,Chula Vista,California,United States,https://www.evanescence.com
Evanescence,2026 World Tour,Poppy; K.Flay,7/18/2026,Shoreline Amphitheatre,Mountain View,California,United States,https://www.evanescence.com
